wl	n	k
0.646	3.734	1.36E-01
0.647	3.721	1.30E-01
0.648	3.708	1.25E-01
0.649	3.695	1.19E-01
0.65	3.682	1.15E-01
0.651	3.67	1.10E-01
0.652	3.659	1.06E-01
0.653	3.648	1.02E-01
0.654	3.637	9.78E-02
0.655	3.626	9.42E-02
0.656	3.616	9.08E-02
0.657	3.606	8.75E-02
0.658	3.596	8.45E-02
0.659	3.586	8.16E-02
0.66	3.577	7.89E-02
0.661	3.568	7.63E-02
0.662	3.559	7.38E-02
0.663	3.55	7.14E-02
0.664	3.542	6.92E-02
0.665	3.534	6.71E-02
0.666	3.526	6.50E-02
0.667	3.518	6.31E-02
0.668	3.51	6.12E-02
0.669	3.503	5.95E-02
0.67	3.495	5.78E-02
0.671	3.488	5.61E-02
0.672	3.481	5.46E-02
0.673	3.474	5.31E-02
0.674	3.468	5.17E-02
0.675	3.461	5.03E-02
0.676	3.455	4.90E-02
0.677	3.448	4.77E-02
0.678	3.442	4.65E-02
0.679	3.436	4.54E-02
0.68	3.43	4.42E-02
0.681	3.424	4.32E-02
0.682	3.418	4.21E-02
0.683	3.413	4.11E-02
0.684	3.407	4.02E-02
0.685	3.402	3.92E-02
0.686	3.396	3.83E-02
0.687	3.391	3.75E-02
0.688	3.386	3.66E-02
0.689	3.381	3.58E-02
0.69	3.376	3.50E-02
0.691	3.371	3.43E-02
0.692	3.366	3.36E-02
0.693	3.361	3.28E-02
0.694	3.356	3.22E-02
0.695	3.352	3.15E-02
0.696	3.347	3.09E-02
0.697	3.343	3.02E-02
0.698	3.338	2.96E-02
0.699	3.334	2.91E-02
0.7	3.33	2.85E-02
0.701	3.325	2.79E-02
0.702	3.321	2.74E-02
0.703	3.317	2.69E-02
0.704	3.313	2.64E-02
0.705	3.309	2.59E-02
0.706	3.305	2.54E-02
0.707	3.301	2.50E-02
0.708	3.297	2.45E-02
0.709	3.294	2.41E-02
0.71	3.29	2.36E-02
0.711	3.286	2.32E-02
0.712	3.282	2.28E-02
0.713	3.279	2.24E-02
0.714	3.275	2.21E-02
0.715	3.272	2.17E-02
0.716	3.268	2.13E-02
0.717	3.265	2.10E-02
0.718	3.262	2.06E-02
0.719	3.258	2.03E-02
0.72	3.255	2.00E-02
0.721	3.252	1.96E-02
0.722	3.248	1.93E-02
0.723	3.245	1.90E-02
0.724	3.242	1.87E-02
0.725	3.239	1.84E-02
0.726	3.236	1.82E-02
0.727	3.233	1.79E-02
0.728	3.23	1.76E-02
0.729	3.227	1.73E-02
0.73	3.224	1.71E-02
0.731	3.221	1.68E-02
0.732	3.218	1.66E-02
0.733	3.215	1.64E-02
0.734	3.212	1.61E-02
0.735	3.21	1.59E-02
0.736	3.207	1.57E-02
0.737	3.204	1.54E-02
0.738	3.201	1.52E-02
0.739	3.199	1.50E-02
0.74	3.196	1.48E-02
0.741	3.193	1.46E-02
0.742	3.191	1.44E-02
0.743	3.188	1.42E-02
0.744	3.186	1.40E-02
0.745	3.183	1.38E-02
0.746	3.181	1.37E-02
0.747	3.178	1.35E-02
0.748	3.176	1.33E-02
0.749	3.173	1.31E-02
0.75	3.171	1.30E-02
0.751	3.169	1.28E-02
0.752	3.166	1.26E-02
0.753	3.164	1.25E-02
0.754	3.162	1.23E-02
0.755	3.159	1.22E-02
0.756	3.157	1.20E-02
0.757	3.155	1.19E-02
0.758	3.152	1.17E-02
0.759	3.15	1.16E-02
0.76	3.148	1.14E-02
0.761	3.146	1.13E-02
0.762	3.144	1.12E-02
0.763	3.142	1.10E-02
0.764	3.139	1.09E-02
0.765	3.137	1.08E-02
0.766	3.135	1.06E-02
0.767	3.133	1.05E-02
0.768	3.131	1.04E-02
0.769	3.129	1.03E-02
0.77	3.127	1.02E-02
0.771	3.125	1.01E-02
0.772	3.123	9.94E-03
0.773	3.121	9.83E-03
0.774	3.119	9.72E-03
0.775	3.117	9.61E-03
0.776	3.115	9.50E-03
0.777	3.113	9.40E-03
0.778	3.112	9.30E-03
0.779	3.11	9.20E-03
0.78	3.108	9.10E-03
0.781	3.106	9.00E-03
0.782	3.104	8.90E-03
0.783	3.102	8.81E-03
0.784	3.101	8.72E-03
0.785	3.099	8.62E-03
0.786	3.097	8.53E-03
0.787	3.095	8.44E-03
0.788	3.093	8.36E-03
0.789	3.092	8.27E-03
0.79	3.09	8.19E-03
0.791	3.088	8.10E-03
0.792	3.087	8.02E-03
0.793	3.085	7.94E-03
0.794	3.083	7.86E-03
0.795	3.082	7.78E-03
0.796	3.08	7.70E-03
0.797	3.078	7.63E-03
0.798	3.077	7.55E-03
0.799	3.075	7.48E-03
0.8	3.074	7.41E-03
0.801	3.072	7.33E-03
0.802	3.07	7.26E-03
0.803	3.069	7.19E-03
0.804	3.067	7.12E-03
0.805	3.066	7.06E-03
0.806	3.064	6.99E-03
0.807	3.063	6.92E-03
0.808	3.061	6.86E-03
0.809	3.06	6.79E-03
0.81	3.058	6.73E-03
0.811	3.057	6.67E-03
0.812	3.055	6.60E-03
0.813	3.054	6.54E-03
0.814	3.052	6.48E-03
0.815	3.051	6.42E-03
0.816	3.049	6.36E-03
0.817	3.048	6.31E-03
0.818	3.047	6.25E-03
0.819	3.045	6.19E-03
0.82	3.044	6.14E-03
0.821	3.042	6.08E-03
0.822	3.041	6.03E-03
0.823	3.04	5.98E-03
0.824	3.038	5.92E-03
0.825	3.037	5.87E-03
0.826	3.036	5.82E-03
0.827	3.034	5.77E-03
0.828	3.033	5.72E-03
0.829	3.032	5.67E-03
0.83	3.03	5.62E-03
0.831	3.029	5.57E-03
0.832	3.028	5.52E-03
0.833	3.026	5.48E-03
0.834	3.025	5.43E-03
0.835	3.024	5.38E-03
0.836	3.023	5.34E-03
0.837	3.021	5.29E-03
0.838	3.02	5.25E-03
0.839	3.019	5.20E-03
0.84	3.018	5.16E-03
0.841	3.017	5.12E-03
0.842	3.015	5.08E-03
0.843	3.014	5.03E-03
0.844	3.013	4.99E-03
0.845	3.012	4.95E-03
0.846	3.011	4.91E-03
0.847	3.009	4.87E-03
0.848	3.008	4.83E-03
0.849	3.007	4.79E-03
0.85	3.006	4.75E-03
0.851	3.005	4.72E-03
0.852	3.004	4.68E-03
0.853	3.002	4.64E-03
0.854	3.001	4.60E-03
0.855	3	4.57E-03
0.856	2.999	4.53E-03
0.857	2.998	4.49E-03
0.858	2.997	4.46E-03
0.859	2.996	4.42E-03
0.86	2.995	4.39E-03
0.861	2.994	4.36E-03
0.862	2.993	4.32E-03
0.863	2.991	4.29E-03
0.864	2.99	4.26E-03
0.865	2.989	4.22E-03
0.866	2.988	4.19E-03
0.867	2.987	4.16E-03
0.868	2.986	4.13E-03
0.869	2.985	4.09E-03
0.87	2.984	4.06E-03
0.871	2.983	4.03E-03
0.872	2.982	4.00E-03
0.873	2.981	3.97E-03
0.874	2.98	3.94E-03
0.875	2.979	3.91E-03
0.876	2.978	3.88E-03
0.877	2.977	3.85E-03
0.878	2.976	3.83E-03
0.879	2.975	3.80E-03
0.88	2.974	3.77E-03
0.881	2.973	3.74E-03
0.882	2.972	3.71E-03
0.883	2.971	3.69E-03
0.884	2.97	3.66E-03
0.885	2.969	3.63E-03
0.886	2.968	3.61E-03
0.887	2.967	3.58E-03
0.888	2.967	3.55E-03
0.889	2.966	3.53E-03
0.89	2.965	3.50E-03
0.891	2.964	3.48E-03
0.892	2.963	3.45E-03
0.893	2.962	3.43E-03
0.894	2.961	3.40E-03
0.895	2.96	3.38E-03
